Koefisien Variasi Harga Tingkat Produsen Tahun 2022-2024,,,,,
,,,,,
Kode Wilayah,Provinsi,Komoditas,Tahun,Bulan,Koefisien Variasi
16,Sumatera Selatan,GKP Tingkat Petani,2022,Agustus,"3,12%"
12,Sumatera Utara,GKP Tingkat Petani,2022,Agustus,"7,47%"
11,Aceh,GKP Tingkat Petani,2022,September,"5,44%"
51,Bali,GKP Tingkat Petani,2022,September,"7,02%"
36,Banten,GKP Tingkat Petani,2022,September,"7,57%"
17,Bengkulu,GKP Tingkat Petani,2022,September,
34,D.I Yogyakarta,GKP Tingkat Petani,2022,September,"3,87%"
75,Gorontalo,GKP Tingkat Petani,2022,September,
15,Jambi,GKP Tingkat Petani,2022,September,"6,79%"
32,Jawa Barat,GKP Tingkat Petani,2022,September,"9,63%"
33,Jawa Tengah,GKP Tingkat Petani,2022,September,"7,38%"
35,Jawa Timur,GKP Tingkat Petani,2022,September,"11,03%"
61,Kalimantan Barat,GKP Tingkat Petani,2022,September,"1,17%"
63,Kalimantan Selatan,GKP Tingkat Petani,2022,September,"8,29%"
62,Kalimantan Tengah,GKP Tingkat Petani,2022,September,"9,98%"
64,Kalimantan Timur,GKP Tingkat Petani,2022,September,
18,Lampung,GKP Tingkat Petani,2022,September,"7,74%"
52,Nusa Tenggara Barat,GKP Tingkat Petani,2022,September,"4,82%"
53,Nusa Tenggara Timur,GKP Tingkat Petani,2022,September,"3,19%"
14,Riau,GKP Tingkat Petani,2022,September,
76,Sulawesi Barat,GKP Tingkat Petani,2022,September,
73,Sulawesi Selatan,GKP Tingkat Petani,2022,September,"5,25%"
72,Sulawesi Tengah,GKP Tingkat Petani,2022,September,
74,Sulawesi Tenggara,GKP Tingkat Petani,2022,September,"1,19%"
71,Sulawesi Utara,GKP Tingkat Petani,2022,September,
13,Sumatera Barat,GKP Tingkat Petani,2022,September,"16,12%"
16,Sumatera Selatan,GKP Tingkat Petani,2022,September,"3,72%"
12,Sumatera Utara,GKP Tingkat Petani,2022,September,"8,44%"
11,Aceh,GKP Tingkat Petani,2022,Oktober,"3,67%"
51,Bali,GKP Tingkat Petani,2022,Oktober,"6,73%"
36,Banten,GKP Tingkat Petani,2022,Oktober,"6,45%"
17,Bengkulu,GKP Tingkat Petani,2022,Oktober,
34,D.I Yogyakarta,GKP Tingkat Petani,2022,Oktober,"3,49%"
75,Gorontalo,GKP Tingkat Petani,2022,Oktober,
15,Jambi,GKP Tingkat Petani,2022,Oktober,"14,28%"
32,Jawa Barat,GKP Tingkat Petani,2022,Oktober,"7,72%"
33,Jawa Tengah,GKP Tingkat Petani,2022,Oktober,"7,79%"
35,Jawa Timur,GKP Tingkat Petani,2022,Oktober,"11,14%"
61,Kalimantan Barat,GKP Tingkat Petani,2022,Oktober,
63,Kalimantan Selatan,GKP Tingkat Petani,2022,Oktober,"14,34%"
62,Kalimantan Tengah,GKP Tingkat Petani,2022,Oktober,"4,35%"
64,Kalimantan Timur,GKP Tingkat Petani,2022,Oktober,
18,Lampung,GKP Tingkat Petani,2022,Oktober,"6,18%"
52,Nusa Tenggara Barat,GKP Tingkat Petani,2022,Oktober,"12,72%"
53,Nusa Tenggara Timur,GKP Tingkat Petani,2022,Oktober,"0,00%"
14,Riau,GKP Tingkat Petani,2022,Oktober,
76,Sulawesi Barat,GKP Tingkat Petani,2022,Oktober,
73,Sulawesi Selatan,GKP Tingkat Petani,2022,Oktober,"6,20%"
72,Sulawesi Tengah,GKP Tingkat Petani,2022,Oktober,
74,Sulawesi Tenggara,GKP Tingkat Petani,2022,Oktober,"3,42%"
71,Sulawesi Utara,GKP Tingkat Petani,2022,Oktober,
13,Sumatera Barat,GKP Tingkat Petani,2022,Oktober,"13,48%"
16,Sumatera Selatan,GKP Tingkat Petani,2022,Oktober,"4,88%"
12,Sumatera Utara,GKP Tingkat Petani,2022,Oktober,"7,01%"
11,Aceh,GKP Tingkat Petani,2022,November,"2,64%"
51,Bali,GKP Tingkat Petani,2022,November,"6,46%"
36,Banten,GKP Tingkat Petani,2022,November,"3,39%"
